Stock,Country,Gear Type,2007,S_2007,2008,S_2008,2009,S_2009
Skipjack tuna Global,Dominica,Trolling lines,30,,15,,17,
Skipjack tuna Global,Ecuador,Longlines (nei),0,-,2,,5,
Skipjack tuna Global,Ecuador,Purse seines,93553,,143431,,132712,
Skipjack tuna Global,Grenada,Longlines (nei),26,,20,,0,-
Skipjack tuna Global,Guatemala,Longlines (nei),0,-,0,-,1,
Skipjack tuna Global,Guatemala,Purse seines,5546,,6319,,4036,
Skipjack tuna Global,Mexico,Longlines (nei),7,,8,,9,
Skipjack tuna Global,Mexico,Mechanized lines and pole-and-lines,276,,499,,151,
Skipjack tuna Global,Mexico,Purse seines,21542,,21638,,6847,
Skipjack tuna Global,Netherlands Antilles,Purse seines,1587,,6436,,9143,
Skipjack tuna Global,Nicaragua,Purse seines,4286,,7005,,5119,
Skipjack tuna Global,Panama,Purse seines,47296,,51483,,35491,
Skipjack tuna Global,Peru,Gear not known,351,,291,,12,
Skipjack tuna Global,Saint Lucia,Trolling lines,89,,168,,0,-
Skipjack tuna Global,Saint Vincent/Grenadines,Longlines (nei),2,,0,-,2,
Skipjack tuna Global,Saint Vincent/Grenadines,Trolling lines,88,,83,,52,
Skipjack tuna Global,United States of America,Gear not known,74,,86,,158,
Skipjack tuna Global,United States of America,Longlines (nei),254,,287,,288,
Skipjack tuna Global,United States of America,Mechanized lines and pole-and-lines,272,,293,,214,
Skipjack tuna Global,United States of America,Trolling lines,272,,375,,399,
Skipjack tuna Global,"Venezuela, Boliv Rep of",Gear not known,0,-,0,-,1,
Skipjack tuna Global,"Venezuela, Boliv Rep of",Mechanized lines and pole-and-lines,115,,69,,441,
Skipjack tuna Global,"Venezuela, Boliv Rep of",Purse seines,22796,,29021,,21178,
Skipjack tuna Global,China,Longlines (nei),1,,0,-,0,-
Skipjack tuna Global,India,Gear not known,6648,,8705,,7609,
Skipjack tuna Global,India,Longlines (nei),1,,0,-,0,-
Skipjack tuna Global,India,Mechanized lines and pole-and-lines,6922,,8522,,7982,
Skipjack tuna Global,Indonesia,Gear not known,44428,,59542,,62144,
Skipjack tuna Global,Indonesia,Longlines (nei),379,,315,,250,
Skipjack tuna Global,Indonesia,Mechanized lines and pole-and-lines,52717,,54574,,57115,
Skipjack tuna Global,Indonesia,Purse seines,11722,,14614,,14124,
Skipjack tuna Global,Indonesia,Trolling lines,12420,,15484,,14965,
Skipjack tuna Global,Iran (Islamic Rep. of),Gear not known,67618,,42411,,44819,
Skipjack tuna Global,Iran (Islamic Rep. of),Purse seines,450,,1489,,1159,
Skipjack tuna Global,Japan,Gear not known,1250,,864,,876,
Skipjack tuna Global,Japan,Longlines (nei),99,,177,,195,
Skipjack tuna Global,Japan,Mechanized lines and pole-and-lines,89694,,91197,,65709,
Skipjack tuna Global,Japan,Purse seines,4362,,3187,,3434,
Skipjack tuna Global,Japan,Trolling lines,3249,,4178,,3819,
Skipjack tuna Global,Jordan,Gear not known,44,,43,,45,
Skipjack tuna Global,"Korea, Republic of",Longlines (nei),1,,2,,6,
Skipjack tuna Global,Malaysia,Purse seines,0,-,293,,293,
Skipjack tuna Global,Maldives,Gear not known,757,,471,,788,
Skipjack tuna Global,Maldives,Longlines (nei),2,,169,,2,
Skipjack tuna Global,Maldives,Mechanized lines and pole-and-lines,95807,,85584,,65018,
Skipjack tuna Global,Maldives,Trolling lines,294,,849,,381,
Skipjack tuna Global,Oman,Gear not known,105,,100,,11,
Skipjack tuna Global,Pakistan,Gear not known,4702,,4882,,5102,
Skipjack tuna Global,Philippines,Gear not known,50593,,52016,,55116,
Skipjack tuna Global,Sri Lanka,Gear not known,73240,,78860,,82127,
Skipjack tuna Global,Syrian Arab Republic,Longlines (nei),19,,21,,0,-
Skipjack tuna Global,Syrian Arab Republic,Purse seines,19,,15,,0,-
Skipjack tuna Global,Taiwan Province of China,Longlines (nei),186,,295,,704,
Skipjack tuna Global,Thailand,Purse seines,8428,,6138,,7532,
Skipjack tuna Global,Yemen,Gear not known,119,,68,,68,
Skipjack tuna Global,France,Gear not known,66,,63,,38,
Skipjack tuna Global,France,Mechanized lines and pole-and-lines,795,,778,,1186,
Skipjack tuna Global,France,Purse seines,38265,,37998,,42134,
Skipjack tuna Global,France,Trolling lines,440,,440,,440,
Skipjack tuna Global,Ireland,Gear not known,0,-,0,-,8,
Skipjack tuna Global,Netherlands,Gear not known,4,,9,,0,-
Skipjack tuna Global,Portugal,Gear not known,0,-,171,,125,
Skipjack tuna Global,Portugal,Longlines (nei),417,,153,,57,
Skipjack tuna Global,Portugal,Mechanized lines and pole-and-lines,8603,,5734,,904,
Skipjack tuna Global,Portugal,Purse seines,0,-,0,-,3,
Skipjack tuna Global,Russian Federation,Purse seines,1130,,313,,260,
Skipjack tuna Global,Spain,Gear not known,23,,7,,0,-
Skipjack tuna Global,Spain,Longlines (nei),620,,21,,12,
Skipjack tuna Global,Spain,Mechanized lines and pole-and-lines,6378,,8345,,8647,
Skipjack tuna Global,Spain,Purse seines,85195,,96698,,100638,
Skipjack tuna Global,United Kingdom,Gear not known,0,-,0,-,16,
Skipjack tuna Global,Australia,Longlines (nei),8,,15,,10,
Skipjack tuna Global,Australia,Purse seines,90,,892,,855,
Skipjack tuna Global,Cook Islands,Longlines (nei),41,,54,,89,
Skipjack tuna Global,Fiji,Longlines (nei),50,,105,,105,
Skipjack tuna Global,Fiji,Mechanized lines and pole-and-lines,431,,431,,0,-
Skipjack tuna Global,Fiji,Trolling lines,54,,0,-,0,-
Skipjack tuna Global,French Polynesia,Gear not known,1221,,1302,,1676,
Skipjack tuna Global,French Polynesia,Longlines (nei),52,,32,,46,
Skipjack tuna Global,French Polynesia,Mechanized lines and pole-and-lines,359,,543,,676,
Skipjack tuna Global,Kiribati,Gear not known,8223,,8238,,8438,
Skipjack tuna Global,Kiribati,Mechanized lines and pole-and-lines,0,-,0,-,142,
Skipjack tuna Global,Nauru,Trolling lines,0,-,1,,0,-
Skipjack tuna Global,New Zealand,Gear not known,11,,5,,0,-
Skipjack tuna Global,New Zealand,Longlines (nei),1,,0,-,1,
Skipjack tuna Global,New Zealand,Trolling lines,0,-,0,-,9,
Skipjack tuna Global,Niue,Longlines (nei),7,,1,,5,
Skipjack tuna Global,Samoa,Longlines (nei),40,,31,,77,
Skipjack tuna Global,Solomon Islands,Mechanized lines and pole-and-lines,3579,,1151,,0,-
Skipjack tuna Global,Tokelau,Trolling lines,6,,6,,8,
Skipjack tuna Global,Tonga,Longlines (nei),1,,0,-,0,-
Skipjack tuna Global,Tuvalu,Trolling lines,17,,12,,16,
Southern bluefin tuna Global,South Africa,Longlines (nei),41,,45,,32,
Southern bluefin tuna Global,Indonesia,Longlines (nei),1077,,926,,641,
Southern bluefin tuna Global,Japan,Longlines (nei),2840,,2952,,2659,
Southern bluefin tuna Global,"Korea, Republic of",Longlines (nei),521,,1134,,1117,
Southern bluefin tuna Global,Philippines,Longlines (nei),46,,45,,47,
Southern bluefin tuna Global,Taiwan Province of China,Longlines (nei),841,,913,,921,
Southern bluefin tuna Global,Spain,Longlines (nei),18,,14,,2,
Southern bluefin tuna Global,Australia,Longlines (nei),4,,23,,213,
Southern bluefin tuna Global,Australia,Mechanized lines and pole-and-lines,0,-,0,-,2,
Southern bluefin tuna Global,Australia,Purse seines,4809,,5010,,4893,
Southern bluefin tuna Global,New Zealand,Gear not known,4,,0,-,0,-
Southern bluefin tuna Global,New Zealand,Longlines (nei),377,,319,,412,
Southern bluefin tuna Global,New Zealand,Trolling lines,1,,0,-,7,
Yellowfin tuna Global,Angola,Gear not known,405,,98,,98,
Yellowfin tuna Global,Cabo Verde,Gear not known,1240,,686,,855,
Yellowfin tuna Global,Cabo Verde,Longlines (nei),0,-,4,,0,-
Yellowfin tuna Global,Cabo Verde,Mechanized lines and pole-and-lines,0,-,2,,0,-
Yellowfin tuna Global,Cabo Verde,Purse seines,2817,,7721,,2419,
Yellowfin tuna Global,Comoros,Gear not known,1682,,2242,,2242,
Yellowfin tuna Global,Comoros,Trolling lines,4318,,5755,,5755,
Yellowfin tuna Global,Côte d'Ivoire,Gear not known,216,,626,,0,-
Yellowfin tuna Global,Côte d'Ivoire,Longlines (nei),0,-,0,-,90,
Yellowfin tuna Global,Equatorial Guinea,Gear not known,0,-,0,-,892,
Yellowfin tuna Global,Ghana,Mechanized lines and pole-and-lines,6612,,9819,,8326,
Yellowfin tuna Global,Ghana,Purse seines,8851,,4431,,10029,
Yellowfin tuna Global,Guinea,Longlines (nei),10,,15,,13,
Yellowfin tuna Global,Kenya,Gear not known,0,-,17,,18,
Yellowfin tuna Global,Kenya,Longlines (nei),11,,22,,17,
Yellowfin tuna Global,Kenya,Trolling lines,80,,80,,80,
Yellowfin tuna Global,Madagascar,Longlines (nei),26,,15,,15,
Yellowfin tuna Global,Madagascar,Trolling lines,775,,757,,826,
Yellowfin tuna Global,Mauritius,Gear not known,48,,44,,57,
Yellowfin tuna Global,Mauritius,Longlines (nei),98,,85,,0,-
Yellowfin tuna Global,Morocco,Longlines (nei),102,,110,,110,
Yellowfin tuna Global,Mozambique,Gear not known,0,-,1,,1,
Yellowfin tuna Global,Namibia,Longlines (nei),26,,11,,1,
Yellowfin tuna Global,Namibia,Mechanized lines and pole-and-lines,2,,0,-,0,-
Yellowfin tuna Global,Saint Helena,Gear not known,177,,97,,104,
Yellowfin tuna Global,Sao Tome and Principe,Gear not known,0,-,10,,7,
Yellowfin tuna Global,Sao Tome and Principe,Purse seines,0,-,150,,158,
Yellowfin tuna Global,Senegal,Gear not known,0,-,0,-,102,
Yellowfin tuna Global,Senegal,Longlines (nei),7,,38,,11,
Yellowfin tuna Global,Senegal,Mechanized lines and pole-and-lines,816,,550,,1157,
Yellowfin tuna Global,Senegal,Trolling lines,0,-,0,-,9,
Yellowfin tuna Global,Seychelles,Gear not known,1,,0,-,0,-
Yellowfin tuna Global,Seychelles,Longlines (nei),2265,,663,,569,
Yellowfin tuna Global,Seychelles,Purse seines,16085,,20682,,21331,
Yellowfin tuna Global,South Africa,Gear not known,688,,212,,24,
Yellowfin tuna Global,South Africa,Longlines (nei),248,,149,,152,
Yellowfin tuna Global,South Africa,Mechanized lines and pole-and-lines,264,,108,,213,
Yellowfin tuna Global,"Tanzania, United Rep. of",Gear not known,110,,110,,108,
Yellowfin tuna Global,"Tanzania, United Rep. of",Longlines (nei),10,,15,,13,
Yellowfin tuna Global,Barbados,Gear not known,21,,21,,19,
Yellowfin tuna Global,Barbados,Longlines (nei),133,,135,,60,
Yellowfin tuna Global,Belize,Longlines (nei),1594,,1424,,1172,
Yellowfin tuna Global,Bermuda,Gear not known,30,,15,,41,
Yellowfin tuna Global,Brazil,Gear not known,2563,,608,,1870,
Yellowfin tuna Global,Brazil,Longlines (nei),1552,,1745,,1039,
Yellowfin tuna Global,Brazil,Mechanized lines and pole-and-lines,1353,,397,,403,
Yellowfin tuna Global,Brazil,Purse seines,0,-,0,-,2,
Yellowfin tuna Global,Canada,Longlines (nei),276,,168,,53,
Yellowfin tuna Global,Chile,Gear not known,76,,74,,47,
Yellowfin tuna Global,Costa Rica,Longlines (nei),1204,,1248,,1003,
Yellowfin tuna Global,Dominica,Gear not known,65,,107,,78,
Yellowfin tuna Global,Dominica,Longlines (nei),0,-,0,-,1,
Yellowfin tuna Global,Dominica,Trolling lines,38,,17,,23,
Yellowfin tuna Global,Ecuador,Longlines (nei),0,-,309,,209,
Yellowfin tuna Global,Ecuador,Purse seines,19749,,18463,,18167,
Yellowfin tuna Global,Grenada,Longlines (nei),633,,756,,630,
Yellowfin tuna Global,Guatemala,Purse seines,3461,,3736,,2603,
Yellowfin tuna Global,Mexico,Gear not known,0,-,0,-,1,
Yellowfin tuna Global,Mexico,Longlines (nei),904,,966,,1230,
Yellowfin tuna Global,Mexico,Mechanized lines and pole-and-lines,894,,812,,709,
Yellowfin tuna Global,Mexico,Purse seines,65091,,84462,,99785,
Yellowfin tuna Global,Netherlands Antilles,Purse seines,1368,,7351,,6293,
Yellowfin tuna Global,Nicaragua,Gear not known,0,-,30,,27,
Yellowfin tuna Global,Nicaragua,Longlines (nei),48,,0,-,0,-
Yellowfin tuna Global,Nicaragua,Purse seines,3917,,4374,,6686,
Yellowfin tuna Global,Panama,Longlines (nei),228,,152,,288,
Yellowfin tuna Global,Panama,Purse seines,35387,,33168,,41041,
Yellowfin tuna Global,Peru,Gear not known,865,,308,,42,
Yellowfin tuna Global,Saint Lucia,Trolling lines,82,,106,,97,
Yellowfin tuna Global,Saint Vincent/Grenadines,Longlines (nei),3181,,2615,,2305,
Yellowfin tuna Global,Saint Vincent/Grenadines,Trolling lines,18,,15,,44,
Yellowfin tuna Global,Trinidad and Tobago,Longlines (nei),615,,520,,629,
Yellowfin tuna Global,Turks and Caicos Is.,Gear not known,1,,0,-,0,-
Yellowfin tuna Global,United States of America,Gear not known,3472,,1517,,1941,
Yellowfin tuna Global,United States of America,Longlines (nei),3879,,2596,,2597,
Yellowfin tuna Global,United States of America,Mechanized lines and pole-and-lines,23,,23,,17,
Yellowfin tuna Global,United States of America,Trolling lines,512,,455,,476,
Yellowfin tuna Global,Uruguay,Longlines (nei),35,,66,,76,
Yellowfin tuna Global,"Venezuela, Boliv Rep of",Gear not known,7,,4,,9,
Yellowfin tuna Global,"Venezuela, Boliv Rep of",Longlines (nei),613,,712,,898,
Yellowfin tuna Global,"Venezuela, Boliv Rep of",Mechanized lines and pole-and-lines,951,,489,,929,
Yellowfin tuna Global,"Venezuela, Boliv Rep of",Purse seines,22438,,19759,,26661,
Yellowfin tuna Global,China,Longlines (nei),5753,,6577,,7715,
Yellowfin tuna Global,India,Gear not known,13207,,11183,,11233,
Yellowfin tuna Global,India,Longlines (nei),3136,,1171,,1533,
Yellowfin tuna Global,India,Mechanized lines and pole-and-lines,1952,,1846,,1996,
Yellowfin tuna Global,Indonesia,Gear not known,22280,,19147,,22082,
Yellowfin tuna Global,Indonesia,Longlines (nei),20581,,18204,,25142,
Yellowfin tuna Global,Indonesia,Mechanized lines and pole-and-lines,9671,,7981,,6491,
Yellowfin tuna Global,Indonesia,Purse seines,371,,463,,447,
Yellowfin tuna Global,Indonesia,Trolling lines,2043,,2547,,2462,
Yellowfin tuna Global,Iran (Islamic Rep. of),Gear not known,13040,,15849,,18630,
Yellowfin tuna Global,Iran (Islamic Rep. of),Purse seines,2330,,2141,,1693,
Yellowfin tuna Global,Iran (Islamic Rep. of),Trolling lines,338,,256,,318,
Yellowfin tuna Global,Japan,Gear not known,364,,542,,433,
Yellowfin tuna Global,Japan,Longlines (nei),45936,,33836,,27821,
Yellowfin tuna Global,Japan,Mechanized lines and pole-and-lines,3501,,3566,,5054,
Yellowfin tuna Global,Japan,Purse seines,963,,1216,,557,
Yellowfin tuna Global,Japan,Trolling lines,2297,,2436,,2534,
Yellowfin tuna Global,Jordan,Gear not known,3,,4,,10,
Yellowfin tuna Global,"Korea, Republic of",Longlines (nei),13332,,9932,,12142,
Yellowfin tuna Global,Malaysia,Longlines (nei),1229,,1212,,970,
Yellowfin tuna Global,Malaysia,Purse seines,0,-,30,,30,
Yellowfin tuna Global,Maldives,Gear not known,6570,,4785,,3570,
Yellowfin tuna Global,Maldives,Longlines (nei),127,,1177,,1090,
Yellowfin tuna Global,Maldives,Mechanized lines and pole-and-lines,13243,,15664,,14275,
Yellowfin tuna Global,Maldives,Trolling lines,721,,983,,676,
Yellowfin tuna Global,Oman,Gear not known,14941,,17928,,6548,
Yellowfin tuna Global,Oman,Longlines (nei),2999,,1558,,919,
Yellowfin tuna Global,Oman,Trolling lines,1239,,1485,,494,
Yellowfin tuna Global,Pakistan,Gear not known,4489,,4697,,5243,
Yellowfin tuna Global,Philippines,Gear not known,60762,,60460,,59614,
Yellowfin tuna Global,Philippines,Longlines (nei),1833,,1503,,960,
Yellowfin tuna Global,Sri Lanka,Gear not known,32904,,32933,,38703,
Yellowfin tuna Global,Sri Lanka,Longlines (nei),94,,0,-,0,-
Yellowfin tuna Global,Taiwan Province of China,Longlines (nei),45068,,34352,,35192,
Yellowfin tuna Global,Thailand,Longlines (nei),111,,90,,65,
Yellowfin tuna Global,Thailand,Purse seines,1250,,993,,1124,
Yellowfin tuna Global,Timor-Leste,Gear not known,3,,3,,3,
Yellowfin tuna Global,Yemen,Gear not known,15797,,13667,,13667,
Yellowfin tuna Global,France,Gear not known,195,,211,,170,
Yellowfin tuna Global,France,Longlines (nei),583,,334,,313,
Yellowfin tuna Global,France,Mechanized lines and pole-and-lines,430,,186,,378,
Yellowfin tuna Global,France,Purse seines,47424,,58030,,46353,
Yellowfin tuna Global,France,Trolling lines,236,,236,,236,
Yellowfin tuna Global,Netherlands,Gear not known,0,-,0,-,1,
Yellowfin tuna Global,Portugal,Gear not known,0,-,8,,758,
Yellowfin tuna Global,Portugal,Longlines (nei),965,,470,,530,
Yellowfin tuna Global,Portugal,Mechanized lines and pole-and-lines,3,,1,,0,-
Yellowfin tuna Global,Russian Federation,Purse seines,211,,42,,33,
Yellowfin tuna Global,Spain,Longlines (nei),346,,268,,231,
Yellowfin tuna Global,Spain,Mechanized lines and pole-and-lines,769,,1055,,874,
Yellowfin tuna Global,Spain,Purse seines,53160,,72361,,73236,
Yellowfin tuna Global,United Kingdom,Gear not known,11,,1,,2,
Yellowfin tuna Global,United Kingdom,Longlines (nei),0,-,0,-,120,
Yellowfin tuna Global,Australia,Gear not known,2,,0,-,1,
Yellowfin tuna Global,Australia,Longlines (nei),1419,,1651,,1399,
Yellowfin tuna Global,Cook Islands,Longlines (nei),290,,247,,197,
Yellowfin tuna Global,Fiji,Longlines (nei),1721,,2763,,2564,
Yellowfin tuna Global,Fiji,Mechanized lines and pole-and-lines,44,,44,,0,-
Yellowfin tuna Global,Fiji,Trolling lines,41,,0,-,0,-
Yellowfin tuna Global,French Polynesia,Gear not known,776,,725,,751,
Yellowfin tuna Global,French Polynesia,Longlines (nei),935,,782,,1306,
Yellowfin tuna Global,French Polynesia,Mechanized lines and pole-and-lines,152,,83,,77,
Yellowfin tuna Global,Kiribati,Gear not known,4347,,4329,,4529,
Yellowfin tuna Global,Kiribati,Longlines (nei),0,-,7,,0,-
Yellowfin tuna Global,Kiribati,Mechanized lines and pole-and-lines,0,-,0,-,10,
Yellowfin tuna Global,Marshall Islands,Longlines (nei),2,,91,,120,
Yellowfin tuna Global,"Micronesia, Fed.States of",Longlines (nei),548,,328,,583,
Yellowfin tuna Global,Nauru,Trolling lines,0,-,2,,4,
Yellowfin tuna Global,New Caledonia,Longlines (nei),393,,424,,487,
Yellowfin tuna Global,New Zealand,Gear not known,0,-,2,,0,-
Yellowfin tuna Global,New Zealand,Longlines (nei),25,,11,,3,
Yellowfin tuna Global,Niue,Longlines (nei),30,,8,,20,
Yellowfin tuna Global,Papua New Guinea,Longlines (nei),1539,,2259,,2714,
Yellowfin tuna Global,Samoa,Longlines (nei),305,,317,,412,
Yellowfin tuna Global,Solomon Islands,Mechanized lines and pole-and-lines,321,,189,,0,-
Yellowfin tuna Global,Tokelau,Trolling lines,2,,2,,3,
Yellowfin tuna Global,Tonga,Longlines (nei),341,,291,,109,
Yellowfin tuna Global,Tuvalu,Trolling lines,9,,10,,12,
Yellowfin tuna Global,Vanuatu,Longlines (nei),2005,,1862,,1764,
