Stock,Country,Gear Type,2007,S_2007,2008,S_2008,2009,S_2009
Albacore in the South Atlantic,"Korea, Republic of",Longlines (nei),56,,88,,374,
Albacore in the South Atlantic,Philippines,Longlines (nei),13,,78,,45,
Albacore in the South Atlantic,Taiwan Province of China,Longlines (nei),13146,,9966,,8678,
Albacore in the South Atlantic,France,Purse seines,12,,50,,60,
Albacore in the South Atlantic,Portugal,Longlines (nei),13,,49,,254,
Albacore in the South Atlantic,Spain,Longlines (nei),758,,908,,997,
Albacore in the South Atlantic,Spain,Purse seines,0,-,25,,64,
Albacore in the South Atlantic,United Kingdom,Longlines (nei),0,-,0,-,1,
Albacore in the South Atlantic,Vanuatu,Longlines (nei),96,,131,,64,
Albacore in the South Pacific,Canada,Trolling lines,6157,,5478,,5724,
Albacore in the South Pacific,Mexico,Gear not known,107,,107,,107,
Albacore in the South Pacific,United States of America,Gear not known,349,,346,,348,
Albacore in the South Pacific,United States of America,Longlines (nei),5433,,3903,,4086,
Albacore in the South Pacific,United States of America,Mechanized lines and pole-and-lines,21,,6,,2218,
Albacore in the South Pacific,United States of America,Trolling lines,12159,,10840,,10812,
Albacore in the South Pacific,China,Longlines (nei),5453,,15095,,20526,
Albacore in the South Pacific,Japan,Gear not known,300,,1647,,224,
Albacore in the South Pacific,Japan,Longlines (nei),27411,,22261,,26250,
Albacore in the South Pacific,Japan,Mechanized lines and pole-and-lines,37768,,19060,,31263,
Albacore in the South Pacific,Japan,Purse seines,5682,,826,,2088,
Albacore in the South Pacific,Japan,Trolling lines,519,,549,,410,
Albacore in the South Pacific,"Korea, Republic of",Longlines (nei),1643,,2038,,1814,
Albacore in the South Pacific,Taiwan Province of China,Longlines (nei),12794,,10898,,15538,
Albacore in the South Pacific,Australia,Gear not known,50,,0,-,0,-
Albacore in the South Pacific,Australia,Longlines (nei),1925,,1277,,1523,
Albacore in the South Pacific,Cook Islands,Longlines (nei),2644,,2224,,1551,
Albacore in the South Pacific,Cook Islands,Trolling lines,54,,0,-,0,-
